Object,ObjectType
BI_PRD_DWH.dbo.View_DimAanbestedingRelatie,VIEW
BI_PRD_DWH.dm.DimAccountEigenaar,USER_TABLE
BI_PRD_DWH.dm.DimHoofdMethode,USER_TABLE
BI_PRD_SA.dbo.View_ProductInfo,VIEW
BI_PRD_DWH.dbo.View_Leerbehoefte_SA,VIEW
BI_PRD_DWH.dbo.View_QueryOnderwerp,VIEW
BI_PRD_DWH.dbo.View_Account360_map,VIEW
BI_PRD_DWH.dbo.View_DatumBestelSchooljaar,VIEW
BI_PRD_DWH.dbo.View_DimDatum3P,VIEW
BI_PRD_DWH.dbo.View_DimDatum,VIEW
BI_PRD_DWH.dm.DimEigenaar,USER_TABLE
BI_PRD_DWH.dbo.View_DimGrootBoekNiveau,VIEW
BI_PRD_DWH.dm.DimGrootboek,USER_TABLE
BI_PRD_DWH.dm.DimWeek,USER_TABLE
BI_PRD_DWH.dwh.DirectLeveren,USER_TABLE
BI_PRD_DWH.dbo.View_dmDimContactPersoon,VIEW
BI_PRD_DWH.dbo.View_Doelen_Backward,VIEW
BI_PRD_DWH.dm.FctVerkoopkansWeek,USER_TABLE
BI_PRD_DWH.dbo.View_Doelen_VerdelingAccounts_details,VIEW
BI_PRD_DWH.dbo.View_BackWardBegroting,VIEW
BI_PRD_DWH.dbo.View_Doelen_FctVerkoopkansVerdelingWK38,VIEW
BI_PRD_DWH.dbo.View_Doelen,VIEW
BI_PRD_DWH.dbo.View_DoelgroepData,VIEW
BI_PRD_DWH.dwh.OrganisatiesDuoActueel,VIEW
BI_PRD_DWH.dbo.View_EmailLijst,VIEW
BI_PRD_DWH.dwh.LicentiesActueel,USER_TABLE
BI_PRD_DWH.dwh.Voucher,USER_TABLE
BI_PRD_DWH.dbo.View_ExamenBundel_PDC,VIEW
BI_PRD_DWH.dbo.View_FctOrder,VIEW
SMI_Sandbox.smi.DimHoofdmethode,USER_TABLE
BI_PRD_ODS.lbh.Leerbehoefte,USER_TABLE
BI_PRD_DWH.dbo.View_Boekenlijst_Response_Historisch_Pivot,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_Doelgroep,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_PO_Methode_2017_VK,VIEW
BI_PRD_DWH.dbo.View_FctSchoolLeerbehoefte,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_PO_TaaSpe_2021,VIEW
BI_PRD_DWH.dm.FctBoeking,USER_TABLE
BI_PRD_DWH.dm.DimMaand,USER_TABLE
BI_PRD_DWH.dbo.View_FctBoekingYtd,VIEW
BI_PRD_DWH.dwh.Lead,USER_TABLE
BI_PRD_DWH.dm.FctLead,USER_TABLE
BI_PRD_DWH.dbo.View_Snappet,VIEW
BI_PRD_DWH.dbo.View_FctOnderwijs,VIEW
BI_PRD_DWH.dbo.View_FctOnderwijsLeerjaarLeerbehoefte,VIEW
BI_PRD_DWH.dbo.FctOnderwijsLeerjaarLeerbehoefteMethode_TSH,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_tbv_upload_VO,VIEW
BI_PRD_DWH.dbo.FctOnderwijsLeerjaarLeerbehoefteMethode_TSH,USER_TABLE
BI_PRD_DWH.dm.FctOrders,USER_TABLE
BI_PRD_DWH.dbo.View_FctOrder_ART_LB_Locatie_Persoon_alg,VIEW
BI_PRD_DWH.dbo.View_ProductInfo,VIEW
BI_PRD_DWH.dbo.View_FctOrder_Examenbundels,VIEW
BI_PRD_DWH.dbo.View_FctOrder_BEX_LB,VIEW
BI_PRD_DWH.dbo.View_DimWeek,VIEW
BI_PRD_DWH.dbo.View_FctOrder_BEX_PRFLIC_TWE_20160101,VIEW
BI_PRD_DWH.dbo.View_FctOrder_ZZ_PRFLIC_TVNU_20160101,VIEW
BI_PRD_DWH.dbo.View_FctProjectAnalyse_reporting,VIEW
BI_PRD_DWH.dm.FctProjectReportCumulatief,USER_TABLE
BI_PRD_DWH.dm.FctProjectReport,USER_TABLE
BI_PRD_DWH.dbo.View_Weken_CommercieleRapportage_Yago,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2015_2016_reporting,VIEW
BI_PRD_DWH.dm.FctVerkoopkans_2015_2016_Reporting_som,USER_TABLE
BI_PRD_DWH.dbo.View_Weken_CommercieleAnalyse,VIEW
BI_PRD_DWH.dbo.View_Weken_Nu,VIEW
BI_PRD_DWH.dbo.View_Weken_CommercieleRapportage,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_reporting,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_reporting_inclusief,VIEW
BI_PRD_DWH.dm.FctVerkoopkans_2016_2017_Reporting_fase_VK,USER_TABLE
BI_PRD_DWH.dm.FctVerkoopkans_2016_2017_Reporting_som,USER_TABLE
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_Reporting_som_groei,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2015_2016_Reporting_som_groei,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_reporting_WK30,VIEW
BI_PRD_DWH.dbo.View_Weken_CommercieleRapportage_tbv_patroon_yago,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans,VIEW
BI_PRD_DWH.dbo.View_FctActiviteitLaatstBijVK,VIEW
BI_PRD_DWH.dbo.View_FctActiviteitBijVK,VIEW
BI_PRD_DWH.dm.FctVerkoopkans_2016_2017_Reporting_fase_VK_NU_VS_VR_Type,USER_TABLE
BI_PRD_DWH.dm.FctVoucher,USER_TABLE
BI_PRD_DWH.dm.FctLatestEstimate,USER_TABLE
BI_PRD_DWH.dbo.View_Finance_WBLE_maand,VIEW
BI_PRD_DWH.dbo.View_Finance_WB_Maand,VIEW
BI_PRD_DWH.dbo.View_Finance_LE_Maand,VIEW
BI_PRD_DWH.dbo.View_gebruiksaandelenVO_SMI_Sandbox,VIEW
BI_PRD_DWH.dbo.View_InhoudDB_aantal,VIEW
BI_PRD_DWH.dbo.View_InhoudDB_JobsSteps,VIEW
BI_PRD_DWH.dm.View_VerkoopkansWeekActiviteiten,VIEW
BI_PRD_DWH.dbo.View_LeadsTest,VIEW
BI_PRD_DWH.dbo.View_QueryVK_NU_VRG,VIEW
BI_PRD_DWH.dbo.View_LeerbehoefteOnderwijs,VIEW
BI_PRD_DWH.dbo.View_QueryVK_DatumEIND_20200813,VIEW
BI_PRD_DWH.dbo.View_Datum_licenties,VIEW
BI_PRD_DWH.dwh.LicentieInwisseling,USER_TABLE
BI_PRD_DWH.dwh.LocatieDuo,USER_TABLE
BI_PRD_DWH.dwh.LocatieRelatie,USER_TABLE
BI_PRD_DWH.dwh.Locatie,USER_TABLE
BI_PRD_DWH.dbo.View_Matrix_BKL_2016,VIEW
BI_PRD_DWH.dbo.View_Matrix_BKL_2015,VIEW
BI_PRD_DWH.dbo.View_Matrix_BKL_2017,VIEW
BI_PRD_DWH.dbo.View_Persoon_School,VIEW
BI_PRD_DWH.dwh.LeerBehoefte,USER_TABLE
BI_PRD_DWH.dbo.View_questionnaire,VIEW
BI_PRD_DWH.dbo.View_FctOrder_ART_LB_Locatie_Persoon_2021KlantenPO,VIEW
BI_PRD_DWH.dbo.View_Order_vs_Verkoopkans,VIEW
BI_PRD_DWH.dm.hub_CRMFeedMethodeGebruik,USER_TABLE
BI_PRD_DWH.dbo.View_FctBoekenlijst_EAN_Platform,VIEW
BI_PRD_DWH.dbo.view_FctVerkoopkans_2016_2017_NU_afgerondeKeus,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_extra,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2021,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2019,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2020,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2016,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2015,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2018,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2017,VIEW
BI_PRD_DWH.dm.DimUitgeverij,USER_TABLE
BI_PRD_DWH.dbo.View_PlatformVO_LangeTermijn,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2014,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_switch,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_Methode_2013,VIEW
BI_PRD_DWH.dbo.View_Gebruik_PO_historie,VIEW
BI_PRD_DWH.dbo.View_DimGrootBoek,VIEW
BI_PRD_DWH.dbo.View_ProjectAnalyse,VIEW
BI_PRD_DWH.dbo.View_LeadEigenaar,VIEW
BI_PRD_DWH.dbo.View_QueryVK_DatumVRG,VIEW
BI_PRD_DWH.dbo.View_QueryVK_DatumNU_YAGO,VIEW
BI_PRD_DWH.dbo.View_QueryVK_DatumVRG_YAGO,VIEW
BI_PRD_DWH.dbo.View_Doelen_Totaal,VIEW
BI_PRD_DWH.dbo.View_Rapportage_Doelen,VIEW
BI_PRD_DWH.dbo.View_DimRelatie_Bestuur_Fake,VIEW
BI_PRD_DWH.dbo.View_DimRelatie_Locaties_Fake,VIEW
BI_PRD_DWH.dbo.View_DimRelatie_Scholen_Fake,VIEW
BI_PRD_DWH.dbo.View_Weken_CommercieleRapportage2,VIEW
BI_PRD_DWH.dbo.View_ReportVKS,VIEW
BI_PRD_DWH.dbo.View_DoelenRelatief,VIEW
BI_PRD_DWH.dbo.View_ReportVK,VIEW
BI_PRD_DWH.dbo.View_DimArtikelKort,VIEW
BI_PRD_DWH.dbo.View_Targets,VIEW
BI_PRD_DWH.dbo.View_smiDimHoofdmethode,VIEW
BI_PRD_DWH.dbo.View_Status_TOV_Target,VIEW
BI_PRD_DWH.dbo.View_Status_TOV_Target_Dynamisch,VIEW
BI_PRD_DWH.dwh.FactuurRegel,USER_TABLE
BI_PRD_DWH.dbo.View_FctVerkoopkans_BackwardPlanning_BO_bak,VIEW
BI_PRD_DWH.dbo.View_svsfactbook_SMI_Sandbox,VIEW
BI_PRD_DWH.dbo.View_PO_VV,VIEW
BI_PRD_DWH.dbo.View_Verkoopkans_GWTW,VIEW
BI_PRD_DWH.tmp.smiDimHoofdMethode,USER_TABLE
BI_PRD_DWH.dwh.CrmAccount,USER_TABLE
BI_PRD_DWH.dbo.View_licenties_Docenten_Actueel,VIEW
BI_PRD_DWH.dbo.View_licenties_tbv_Gebruik,VIEW
BI_PRD_DWH.dbo.View_licenties_tbv_Gebruik_methode,VIEW
BI_PRD_DWH.dm.DimOpleiding,USER_TABLE
BI_PRD_DWH.hlp.DoelgroepDataVK,USER_TABLE
BI_PRD_DWH.dbo.View_FctVerkoopkans_2015_2016_Reporting_som,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_Reporting_fase_VK,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_Reporting_fase_VK_NU_VS_VR_Type,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_Reporting_som,VIEW
BI_PRD_DWH.dm.hub_CRMMethodeFeedSQL,USER_TABLE
BI_PRD_DWH.dwh.GeneriekeMethode,USER_TABLE
BI_PRD_DWH.dbo.View_Webpower_Clicks2VK,VIEW
BI_PRD_DWH.dm.hub_CRMFeedEANGebruik,USER_TABLE
BI_PRD_DWH.dm.FctBoekenlijst_EANEstimate,USER_TABLE
BI_PRD_DWH.dwh.Tussenhandel_opleiding_mbo_hulpfile,USER_TABLE
SMI_SandBox.crm.BusinessFunction,USER_TABLE
SMI_SandBox.smi.Doelgroep,USER_TABLE
SMI_SandBox.smi.DoelgroepSelectiesPO,USER_TABLE
SMI_SandBox.crm.EducationType,USER_TABLE
SMI_SandBox.smi.Leerbehoeftes,USER_TABLE
SMI_SandBox.dbo.View_Leerbehoefte,VIEW
SMI_SandBox.smi.DoelgroepVK,USER_TABLE
SMI_SandBox.smi.Doelgroep_Alle,USER_TABLE
SMI_SandBox.smi.DoelgroepDefinitie,USER_TABLE
SMI_SandBox.smi.DoelgroepData,USER_TABLE
SMI_SandBox.smi.DoelgroepDataVK,USER_TABLE
SMI_SandBox.smi.DoelgroepDataAlle,USER_TABLE
SMI_SandBox.smi.DoelgroepDataKlanten,USER_TABLE
SMI_SandBox.smi.DoelgroepFunctie,USER_TABLE
SMI_SandBox.smi.DoelgroepOpties,USER_TABLE
SMI_SandBox.smi.DoelgroepType1Docent,USER_TABLE
SMI_SandBox.smi.DoelgroepType2Functie,USER_TABLE
SMI_SandBox.smi.DoelgroepType3VK,USER_TABLE
SMI_SandBox.smi.DoelgroepTypeAlle,USER_TABLE
SMI_SandBox.dbo.View_Marktbewerking_PO_00033_Taal,VIEW
SMI_SandBox.smi.Marktbewerking_PO_0033_Taal,USER_TABLE
SMI_SandBox.dwhdm.DimCRMAccount,USER_TABLE
SMI_SandBox.smi.vk,USER_TABLE
SMI_SandBox.smi.Methodegebruik,USER_TABLE
SMI_SandBox.smi.VKR,USER_TABLE
SMI_SandBox.smi.OntbrekendeUitgevers,USER_TABLE
SMI_SandBox.smi.OntbrekendeUitgevers,SQL_STORED_PROCEDURE
SMI_SandBox.smi.Lijst_methodegebruik,USER_TABLE
SMI_SandBox.dbo.invoeringenPO2015,USER_TABLE
SMI_SandBox.dbo.PO_vervanging_2016,USER_TABLE
SMI_SandBox.smi.LijstVK,USER_TABLE
SMI_SandBox.dbo.View_Kansen_Onderwijstype,VIEW
SMI_SandBox.dbo.View_Kansen_Algemeen,VIEW
SMI_SandBox.smi.TabelTweetalig,USER_TABLE
SMI_SandBox.lic.UniekeGebruikersPerSchool,USER_TABLE
SMI_SandBox.dbo.Carmellicenties,USER_TABLE
SMI_SandBox.dbo.View_BRINREL_Carmel,VIEW
SMI_SandBox.dbo.View_BrinVO,VIEW
BI_PRD_SA.sen.LicentiesActueel2,USER_TABLE
SMI_SandBox.dbo.Carmellicenties_NL,USER_TABLE
SMI_SandBox.dbo.View_BRINREL_Carmel_NL,VIEW
SMI_SandBox.smi.Contact_Adres,USER_TABLE
SMI_SandBox.smi.BrinKoppelLijst,USER_TABLE
SMI_SandBox.tps.DimLocAcc,USER_TABLE
SMI_SandBox.tps.View_TLinks,VIEW
SMI_SandBox.tps.DimLoc,USER_TABLE
SMI_SandBox.tps.View_TLinks_PBI,VIEW
SMI_SandBox.tps.producten,USER_TABLE
SMI_SandBox.tps.scholen,USER_TABLE
SMI_SandBox.tps.tlinklicenties,USER_TABLE
SMI_SandBox.tps.koppelingen,USER_TABLE
SMI_SandBox.tps.DimUser,USER_TABLE
SMI_SandBox.tps.accounts,USER_TABLE
SMI_SandBox.smi.EmailLijst,USER_TABLE
SMI_SandBox.dbo.View_EOB_MarktMatrix_EmailLijst_Response,VIEW
SMI_SandBox.dbo.EOB_MarktMatrix_EmailLijst_Response,USER_TABLE
SMI_SandBox.dbo.View_EOB1Activering,VIEW
SMI_SandBox.smi.EOBActivering,USER_TABLE
SMI_SandBox.dbo.View_EOB2GebruikMSP,VIEW
SMI_SandBox.smi.EOBGebruikMSP,USER_TABLE
SMI_SandBox.smi.EOBLastVisitMSP,USER_TABLE
SMI_SandBox.dbo.View_EOB3Vouchers,VIEW
SMI_SandBox.smi.EOBVouchers,USER_TABLE
SMI_SandBox.smi.EOBEmails,USER_TABLE
SMI_SandBox.dbo.View_EOB_CC_Door,VIEW
SMI_SandBox.wpr.View_AccountFinder,VIEW
SMI_SandBox.dbo.View_EOB_FCLijst_join,VIEW
SMI_SandBox.scr.View_Door_pdf_adressen,VIEW
SMI_SandBox.dbo.Factuurregels_AlleKlanten,USER_TABLE
SMI_SandBox.dbo.Factuurregels_SIVON,USER_TABLE
SMI_SandBox.dbo.Factuurregels_SIVON_test,USER_TABLE
SMI_SandBox.tps.LA_vw_tps_loc_alle,USER_TABLE
SMI_SandBox.smi.AssuKoppelLijst,USER_TABLE
SMI_SandBox.smi.LeftOverKoppelLijst,USER_TABLE
SMI_SandBox.smi.Licenties_NL,USER_TABLE
SMI_SandBox.smi.Licenties_NL_doc,USER_TABLE
SMI_SandBox.smi.LocatieDocenten,USER_TABLE
SMI_SandBox.smi.LocatieFuncties,USER_TABLE
SMI_SandBox.smi.LocatieLicenties,USER_TABLE
SMI_SandBox.dbo.LRNlineKlant,USER_TABLE
SMI_SandBox.dbo.m1Dr$,USER_TABLE
SMI_SandBox.dbo.m1Fl$,USER_TABLE
SMI_SandBox.dbo.m1Fr$,USER_TABLE
SMI_SandBox.dbo.m1Ge$,USER_TABLE
SMI_SandBox.dbo.m1Gr$,USER_TABLE
SMI_SandBox.dbo.m1Li$,USER_TABLE
SMI_SandBox.smi.M1NL,USER_TABLE
SMI_SandBox.dbo.m1NB$,USER_TABLE
SMI_SandBox.dbo.m1NH$,USER_TABLE
SMI_SandBox.dbo.m1Ov$,USER_TABLE
SMI_SandBox.dbo.m1Ut$,USER_TABLE
SMI_SandBox.dbo.m1Ze$,USER_TABLE
SMI_SandBox.dbo.m1ZH$,USER_TABLE
LA.ref.BrinKoppelLijst,USER_TABLE
SMI_SandBox.tps.OutputLA,USER_TABLE
SMI_SandBox.dbo.View_PO_MO_Lic,VIEW
SMI_SandBox.smi.PO_MO_Lic_hlp,USER_TABLE
SMI_SandBox.smi.PO_MO_Lic,USER_TABLE
SMI_SandBox.tps.ScholenPlus,USER_TABLE
smi_sandbox.tps.tpsOrgBrin6$,USER_TABLE
SMI_SandBox.wpr.TabelMailingResultaat,USER_TABLE
SMI_SandBox.wpr.TabelMailings2,USER_TABLE
SMI_SandBox.wpr.TabelMailings,USER_TABLE
SMI_SandBox.thas.MeThaThieme,USER_TABLE
SMI_SandBox.Thas.ThasEditionBrin,USER_TABLE
SMI_SandBox.smi.ThiemoMethods,USER_TABLE
SMI_SandBox.tps.DigiDeliveryID_Relatienummer,USER_TABLE
SMI_SandBox.tps.tps_account_plus,USER_TABLE
SMI_SandBox.lic.licenties_actueel,USER_TABLE
SMI_SandBox.lic.UID_ASSU_CPI_Schoolname,USER_TABLE
SMI_SandBox.lic.UID_ASSU_HMT_DCLL,USER_TABLE
SMI_SandBox.lic.UID_ASSU_Schoolname,USER_TABLE
master.dbo.fn_varbintohexstr,SQL_SCALAR_FUNCTION
SMI_SandBox.lic.UID_docent,USER_TABLE
SMI_SandBox.lic.UID_leerling,USER_TABLE
SMI_SandBox.smi.View_Account360_bkl_2020_EAN_BO_00020,USER_TABLE
SMI_SandBox.smi.View_Account360_bkl_2020_EAN_BO_00008,USER_TABLE
