Database,Schema,ObjectNaam,ObjectType
BI_PRD_DWH,dm,hub_CRMFeedConnections,USER_TABLE
BI_PRD_DWH,dwh,CrmPersoon,USER_TABLE
BI_PRD_DWH,dwh,contact,USER_TABLE
BI_PRD_DWH,hlp,DoelgroepData,USER_TABLE
BI_PRD_DWH,dwh,Activiteit,USER_TABLE
BI_PRD_DWH,dm,DimAccountEigenaar,USER_TABLE
BI_PRD_DWH,dm,DimHoofdMethode,USER_TABLE
BI_PRD_DWH,dm,DimEigenaar,USER_TABLE
BI_PRD_DWH,dm,DimGrootboek,USER_TABLE
BI_PRD_DWH,dm,DimWeek,USER_TABLE
BI_PRD_DWH,dwh,DirectLeveren,USER_TABLE
BI_PRD_DWH,dm,FctVerkoopkansWeek,USER_TABLE
BI_PRD_DWH,dwh,LicentiesActueel,USER_TABLE
BI_PRD_DWH,dwh,Voucher,USER_TABLE
SMI_Sandbox,smi,DimHoofdmethode,USER_TABLE
BI_PRD_ODS,lbh,Leerbehoefte,USER_TABLE
BI_PRD_DWH,dm,FctBoeking,USER_TABLE
BI_PRD_DWH,dm,DimMaand,USER_TABLE
BI_PRD_DWH,dwh,Lead,USER_TABLE
BI_PRD_DWH,dm,FctLead,USER_TABLE
BI_PRD_DWH,dbo,FctOnderwijsLeerjaarLeerbehoefteMethode_TSH,USER_TABLE
BI_PRD_DWH,dm,FctOrders,USER_TABLE
BI_PRD_DWH,dm,FctProjectReportCumulatief,USER_TABLE
BI_PRD_DWH,dm,FctProjectReport,USER_TABLE
BI_PRD_DWH,dm,FctVerkoopkans_2015_2016_Reporting_som,USER_TABLE
BI_PRD_DWH,dm,FctVerkoopkans_2016_2017_Reporting_fase_VK,USER_TABLE
BI_PRD_DWH,dm,FctVerkoopkans_2016_2017_Reporting_som,USER_TABLE
BI_PRD_DWH,dm,FctVerkoopkans_2016_2017_Reporting_fase_VK_NU_VS_VR_Type,USER_TABLE
BI_PRD_DWH,dm,FctVoucher,USER_TABLE
BI_PRD_DWH,dm,FctLatestEstimate,USER_TABLE
BI_PRD_DWH,dwh,LicentieInwisseling,USER_TABLE
BI_PRD_DWH,dwh,LocatieDuo,USER_TABLE
BI_PRD_DWH,dwh,LocatieRelatie,USER_TABLE
BI_PRD_DWH,dwh,Locatie,USER_TABLE
BI_PRD_DWH,dwh,LeerBehoefte,USER_TABLE
BI_PRD_DWH,dm,hub_CRMFeedMethodeGebruik,USER_TABLE
BI_PRD_DWH,dm,DimUitgeverij,USER_TABLE
BI_PRD_DWH,dwh,FactuurRegel,USER_TABLE
BI_PRD_DWH,tmp,smiDimHoofdMethode,USER_TABLE
BI_PRD_DWH,dwh,CrmAccount,USER_TABLE
BI_PRD_DWH,dm,DimOpleiding,USER_TABLE
BI_PRD_DWH,hlp,DoelgroepDataVK,USER_TABLE
BI_PRD_DWH,dm,hub_CRMMethodeFeedSQL,USER_TABLE
BI_PRD_DWH,dwh,GeneriekeMethode,USER_TABLE
BI_PRD_DWH,dm,hub_CRMFeedEANGebruik,USER_TABLE
BI_PRD_DWH,dm,FctBoekenlijst_EANEstimate,USER_TABLE
BI_PRD_DWH,dwh,Tussenhandel_opleiding_mbo_hulpfile,USER_TABLE
SMI_SandBox,crm,BusinessFunction,USER_TABLE
SMI_SandBox,smi,Doelgroep,USER_TABLE
SMI_SandBox,smi,DoelgroepSelectiesPO,USER_TABLE
SMI_SandBox,crm,EducationType,USER_TABLE
SMI_SandBox,smi,Leerbehoeftes,USER_TABLE
SMI_SandBox,smi,DoelgroepVK,USER_TABLE
SMI_SandBox,smi,Doelgroep_Alle,USER_TABLE
SMI_SandBox,smi,DoelgroepDefinitie,USER_TABLE
SMI_SandBox,smi,DoelgroepData,USER_TABLE
SMI_SandBox,smi,DoelgroepDataVK,USER_TABLE
SMI_SandBox,smi,DoelgroepDataAlle,USER_TABLE
SMI_SandBox,smi,DoelgroepDataKlanten,USER_TABLE
SMI_SandBox,smi,DoelgroepFunctie,USER_TABLE
SMI_SandBox,smi,DoelgroepOpties,USER_TABLE
SMI_SandBox,smi,DoelgroepType1Docent,USER_TABLE
SMI_SandBox,smi,DoelgroepType2Functie,USER_TABLE
SMI_SandBox,smi,DoelgroepType3VK,USER_TABLE
SMI_SandBox,smi,DoelgroepTypeAlle,USER_TABLE
SMI_SandBox,smi,Marktbewerking_PO_0033_Taal,USER_TABLE
SMI_SandBox,dwhdm,DimCRMAccount,USER_TABLE
SMI_SandBox,smi,vk,USER_TABLE
SMI_SandBox,smi,Methodegebruik,USER_TABLE
SMI_SandBox,smi,VKR,USER_TABLE
SMI_SandBox,smi,OntbrekendeUitgevers,USER_TABLE
SMI_SandBox,smi,Lijst_methodegebruik,USER_TABLE
SMI_SandBox,dbo,invoeringenPO2015,USER_TABLE
SMI_SandBox,dbo,PO_vervanging_2016,USER_TABLE
SMI_SandBox,smi,LijstVK,USER_TABLE
SMI_SandBox,smi,TabelTweetalig,USER_TABLE
SMI_SandBox,lic,UniekeGebruikersPerSchool,USER_TABLE
SMI_SandBox,dbo,Carmellicenties,USER_TABLE
BI_PRD_SA,sen,LicentiesActueel2,USER_TABLE
SMI_SandBox,dbo,Carmellicenties_NL,USER_TABLE
SMI_SandBox,smi,Contact_Adres,USER_TABLE
SMI_SandBox,smi,BrinKoppelLijst,USER_TABLE
SMI_SandBox,tps,DimLocAcc,USER_TABLE
SMI_SandBox,tps,DimLoc,USER_TABLE
SMI_SandBox,tps,producten,USER_TABLE
SMI_SandBox,tps,scholen,USER_TABLE
SMI_SandBox,tps,tlinklicenties,USER_TABLE
SMI_SandBox,tps,koppelingen,USER_TABLE
SMI_SandBox,tps,DimUser,USER_TABLE
SMI_SandBox,tps,accounts,USER_TABLE
SMI_SandBox,smi,EmailLijst,USER_TABLE
SMI_SandBox,dbo,EOB_MarktMatrix_EmailLijst_Response,USER_TABLE
SMI_SandBox,smi,EOBActivering,USER_TABLE
