Database,Schema,ObjectNaam,ObjectType
BI_PRD_DWH,dbo,View_FctActiviteitBijVK,VIEW
BI_PRD_DWH,dbo,View_Finance_WBLE_maand,VIEW
BI_PRD_DWH,dbo,View_Finance_WB_Maand,VIEW
BI_PRD_DWH,dbo,View_Finance_LE_Maand,VIEW
BI_PRD_DWH,dbo,View_gebruiksaandelenVO_SMI_Sandbox,VIEW
BI_PRD_DWH,dbo,View_InhoudDB_aantal,VIEW
BI_PRD_DWH,dbo,View_InhoudDB_JobsSteps,VIEW
BI_PRD_DWH,dm,View_VerkoopkansWeekActiviteiten,VIEW
BI_PRD_DWH,dbo,View_LeadsTest,VIEW
BI_PRD_DWH,dbo,View_QueryVK_NU_VRG,VIEW
BI_PRD_DWH,dbo,View_LeerbehoefteOnderwijs,VIEW
BI_PRD_DWH,dbo,View_QueryVK_DatumEIND_20200813,VIEW
BI_PRD_DWH,dbo,View_Datum_licenties,VIEW
BI_PRD_DWH,dbo,View_Matrix_BKL_2016,VIEW
BI_PRD_DWH,dbo,View_Matrix_BKL_2015,VIEW
BI_PRD_DWH,dbo,View_Matrix_BKL_2017,VIEW
BI_PRD_DWH,dbo,View_Persoon_School,VIEW
BI_PRD_DWH,dbo,View_questionnaire,VIEW
BI_PRD_DWH,dbo,View_FctOrder_ART_LB_Locatie_Persoon_2021KlantenPO,VIEW
BI_PRD_DWH,dbo,View_Order_vs_Verkoopkans,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_EAN_Platform,VIEW
BI_PRD_DWH,dbo,view_FctVerkoopkans_2016_2017_NU_afgerondeKeus,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_extra,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2021,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2019,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2020,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2016,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2015,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2018,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2017,VIEW
BI_PRD_DWH,dbo,View_PlatformVO_LangeTermijn,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2014,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_switch,VIEW
BI_PRD_DWH,dbo,View_FctBoekenlijst_Methode_2013,VIEW
BI_PRD_DWH,dbo,View_Gebruik_PO_historie,VIEW
BI_PRD_DWH,dbo,View_DimGrootBoek,VIEW
BI_PRD_DWH,dbo,View_ProjectAnalyse,VIEW
BI_PRD_DWH,dbo,View_LeadEigenaar,VIEW
BI_PRD_DWH,dbo,View_QueryVK_DatumVRG,VIEW
BI_PRD_DWH,dbo,View_QueryVK_DatumNU_YAGO,VIEW
BI_PRD_DWH,dbo,View_QueryVK_DatumVRG_YAGO,VIEW
BI_PRD_DWH,dbo,View_Doelen_Totaal,VIEW
BI_PRD_DWH,dbo,View_Rapportage_Doelen,VIEW
BI_PRD_DWH,dbo,View_DimRelatie_Bestuur_Fake,VIEW
BI_PRD_DWH,dbo,View_DimRelatie_Locaties_Fake,VIEW
BI_PRD_DWH,dbo,View_DimRelatie_Scholen_Fake,VIEW
BI_PRD_DWH,dbo,View_Weken_CommercieleRapportage2,VIEW
BI_PRD_DWH,dbo,View_ReportVKS,VIEW
BI_PRD_DWH,dbo,View_DoelenRelatief,VIEW
BI_PRD_DWH,dbo,View_ReportVK,VIEW
BI_PRD_DWH,dbo,View_DimArtikelKort,VIEW
BI_PRD_DWH,dbo,View_Targets,VIEW
BI_PRD_DWH,dbo,View_smiDimHoofdmethode,VIEW
BI_PRD_DWH,dbo,View_Status_TOV_Target,VIEW
BI_PRD_DWH,dbo,View_Status_TOV_Target_Dynamisch,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_BackwardPlanning_BO_bak,VIEW
BI_PRD_DWH,dbo,View_svsfactbook_SMI_Sandbox,VIEW
BI_PRD_DWH,dbo,View_PO_VV,VIEW
BI_PRD_DWH,dbo,View_Verkoopkans_GWTW,VIEW
BI_PRD_DWH,dbo,View_licenties_Docenten_Actueel,VIEW
BI_PRD_DWH,dbo,View_licenties_tbv_Gebruik,VIEW
BI_PRD_DWH,dbo,View_licenties_tbv_Gebruik_methode,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_2015_2016_Reporting_som,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_2016_2017_Reporting_fase_VK,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_2016_2017_Reporting_fase_VK_NU_VS_VR_Type,VIEW
BI_PRD_DWH,dbo,View_FctVerkoopkans_2016_2017_Reporting_som,VIEW
BI_PRD_DWH,dbo,View_Webpower_Clicks2VK,VIEW
SMI_SandBox,dbo,View_Leerbehoefte,VIEW
SMI_SandBox,dbo,View_Marktbewerking_PO_00033_Taal,VIEW
SMI_SandBox,dbo,View_Kansen_Onderwijstype,VIEW
SMI_SandBox,dbo,View_Kansen_Algemeen,VIEW
SMI_SandBox,dbo,View_BRINREL_Carmel,VIEW
SMI_SandBox,dbo,View_BrinVO,VIEW
SMI_SandBox,dbo,View_BRINREL_Carmel_NL,VIEW
SMI_SandBox,tps,View_TLinks,VIEW
SMI_SandBox,tps,View_TLinks_PBI,VIEW
SMI_SandBox,dbo,View_EOB_MarktMatrix_EmailLijst_Response,VIEW
SMI_SandBox,dbo,View_EOB1Activering,VIEW
SMI_SandBox,dbo,View_EOB2GebruikMSP,VIEW
SMI_SandBox,dbo,View_EOB3Vouchers,VIEW
SMI_SandBox,dbo,View_EOB_CC_Door,VIEW
SMI_SandBox,wpr,View_AccountFinder,VIEW
SMI_SandBox,dbo,View_EOB_FCLijst_join,VIEW
SMI_SandBox,scr,View_Door_pdf_adressen,VIEW
SMI_SandBox,dbo,View_PO_MO_Lic,VIEW
SMI_SandBox,dbo,View_FctLicenties_ProefLicenties,VIEW
SMI_SandBox,lic,View_Fctlicenties_proeflicenties,VIEW
SMI_SandBox,dbo,View_QueryVKPO_BEX,VIEW
SMI_SandBox,smi,View_QueryVKPO_BEX,VIEW
SMI_SandBox,fnl,Events,VIEW
SMI_SandBox,smi,Events,VIEW
SMI_SandBox,dbo,View_Webinar,VIEW
SMI_SandBox,dbo,View_NT2Licenties,VIEW
LA,tps,View_TLinks_PBI,VIEW
SMI_SandBox,dbo,View_DocentToegang_Markt,VIEW
SMI_SandBox,dbo,View_DoelgroepRegio,VIEW
SMI_SandBox,dbo,View_GA_decomp2_ytd,VIEW
SMI_SandBox,dbo,View_GA_decomp,VIEW
SMI_Sandbox,dbo,View_SelectArtikelNummersEOB,VIEW
BI_PRD_DWH,dbo,View_Servicing_CCCD,VIEW
SMI_SandBox,dbo,View_Specificaties_Activeringen,VIEW
SMI_SandBox,dbo,View_Activity_Route88,VIEW
SMI_SandBox,dbo,View_Activity_Annotation,VIEW
SMI_SandBox,dbo,View_Activity_Incident,VIEW
SMI_SandBox,dbo,View_Activity_Opportunity,VIEW
SMI_SandBox,dbo,View_Activity_proeflesAanvraag,VIEW
SMI_SandBox,dbo,View_Activering_Licentie_Toegang_proef,VIEW
SMI_SandBox,dbo,View_TouchpointsContact,VIEW
SMI_SandBox,dbo,View_Activity_SalesOrder,VIEW
SMI_SandBox,dbo,View_Activity_Opportunity_KBAccount,VIEW
SMI_SandBox,dbo,View_Activering_Licentie_proef,VIEW
SMI_SandBox,dbo,View_FctLicenties_PBI,VIEW
SMI_SandBox,dbo,View_FctLicenties_Activering_per_Week,VIEW
SMI_SandBox,dbo,View_FctLicenties_actueel,VIEW
SMI_SandBox,dbo,View_VO_MinimaleMethodeTermijn,VIEW
SMI_SandBox,dbo,View_QueryVKPO,VIEW
SMI_SandBox,dbo,View_OmzetQuery,VIEW
SMI_SandBox,bkl,VoorlopigeBoekenlijst,VIEW
SMI_SandBox,dbo,View_Brin_Duo,VIEW
SMI_SandBox,dbo,View_KlantBepaling_met_invoer,VIEW
SMI_SandBox,dbo,View_JBP_Iddink,VIEW
SMI_SandBox,dbo,View_Basis_VK_Behoud_VO_2018,VIEW
BI_PRD_DWH,dbo,View_Fctlicenties_ProefLicenties,VIEW
SMI_SandBox,dbo,View_Activiteit,VIEW
SMI_SandBox,dbo,View_ActiviteitDatum,VIEW
SMI_SandBox,dbo,View_AboVDE,VIEW
SMI_SandBox,dbo,View_ABO_VDE_BKL,VIEW
SMI_SandBox,dbo,View_ICTCoordinator,VIEW
SMI_SandBox,dbo,View_AccountEducationTypeTabel,VIEW
SMI_SandBox,dbo,View_Activering_Licentie,VIEW
SMI_SandBox,dbo,View_Activeringen_per_School_per_Methode,VIEW
BI_PRD_DWH,dbo,View_FctOrder_ART_LB_Locatie_Persoon,VIEW
SMI_SandBox,dbo,View_Basis_voor_DoelgroepData_Algemeen_2020,VIEW
SMI_SandBox,dbo,View_LicentiesActueelDocentenVO_Aanhef,VIEW
SMI_SandBox,dbo,View_Doelgroep_obv_businessfunction_methodegebruik_BO,VIEW
SMI_SandBox,dbo,View_LicentiesActueelDocentenBO_Aanhef,VIEW
SMI_SandBox,dbo,View_CoronaTussenhandel,VIEW
SMI_SandBox,dbo,View_Basis_voor_DoelgroepData_Algemeen_2020_2,VIEW
SMI_SandBox,wpr,View_response_los,VIEW
SMI_SandBox,dbo,View_BackwardPercentage,VIEW
SMI_SandBox,dbo,View_BackWardCRM,VIEW
SMI_SandBox,dbo,View_Basis_voor_NT2,VIEW
SMI_SandBox,dbo,View_Basis_VK_Intro,VIEW
SMI_SandBox,dbo,View_Basis_VK_Small,VIEW
SMI_SandBox,dbo,View_Basis_VK_Uitstel,VIEW
SMI_SandBox,dbo,View_Basis_VK_Behoud_VO,VIEW
SMI_SandBox,dbo,View_Gewonnen_VK,VIEW
SMI_SandBox,dbo,View_basis_voor_VK_Mixed20170222,VIEW
SMI_SandBox,dbo,View_ProfielenMixed,VIEW
SMI_SandBox,dbo,View_Basis_voor_VK_TIE,VIEW
SMI_SandBox,dbo,View_Doelgroep_Mixed_klantenobv_lic,VIEW
SMI_SandBox,dbo,View_Basis_voor_VK_VO_Overstap,VIEW
SMI_SandBox,dbo,View_FctLicenties_actueel_Zilla_GD,VIEW
SMI_SandBox,dbo,View_basis_voor_VK_Taalverhaal,VIEW
SMI_SandBox,dbo,View_Basis_voor_Bex_Taalverhaal,VIEW
SMI_SandBox,dbo,View_Bellijst_selectieVK_PO_Basis,VIEW
SMI_SandBox,dbo,View_Bellijst_selectieVK_Samba,VIEW
SMI_SandBox,dbo,View_FctLicenties_actueel_PO_TIE,VIEW
SMI_SandBox,dbo,View_FctLeerbehoefte_Locatie_Leerjaar_ICT,VIEW
SMI_SandBox,dbo,View_Bellijst_selectieVK_PO_TVAT,VIEW
SMI_SandBox,dbo,View_Gebruik_LJ_Engels_PO,VIEW
SMI_SandBox,dbo,View_brinMBO,VIEW
SMI_SandBox,dbo,View_CPI_PackageStream,VIEW
BI_DEV_DWH,dbo,View_CrossSelectiePO,VIEW
SMI_SandBox,dbo,View_ZichtzendingPO,VIEW
SMI_SandBox,dbo,View_DatabaseOverzicht,VIEW
SMI_SandBox,dbo,View_Bellijst_selectieVK_PO_20161005,VIEW
SMI_SandBox,dbo,View_SelectieVK_VO_20170221Mixed,VIEW
SMI_SandBox,dbo,View_Aanhef_per_Email,VIEW
SMI_SandBox,dbo,View_EindExamenCijfers,VIEW
SMI_SandBox,dbo,View_ELM_ILM,VIEW
SMI_SandBox,dbo,View_EmailAssu,VIEW
SMI_SandBox,dbo,View_EmailLic,VIEW
SMI_SandBox,dbo,View_licentie_EAN_CPI_Stream,VIEW
SMI_SandBox,dbo,View_EOB_lijstenFC,VIEW
SMI_SandBox,dbo,View_EOB_MarktMatrix,VIEW
SMI_SandBox,dbo,View_EOB_VouchersNaarEmail_Door,VIEW
SMI_SandBox,scr,View_Door_pdf_email,VIEW
SMI_SandBox,wpr,View_response,VIEW
SMI_SandBox,dbo,View_EOB_MarktMatrix_EmailLijst,VIEW
SMI_SandBox,dbo,View_EOB3b_Vouchers,VIEW
SMI_SandBox,dbo,View_EOB_Activering_PRF,VIEW
SMI_SandBox,dbo,View_EOB_MarktMatrix_EmailLijst_FC_Join,VIEW
SMI_SandBox,dbo,View_EOB1Inwisseling,VIEW
SMI_SandBox,scr,View_Door_pdf,VIEW
SMI_SandBox,dbo,View_EOB3Vouchers_nietGeactiveerd,VIEW
SMI_SandBox,dbo,View_ExamenCijferGemiddelde,VIEW
SMI_SandBox,dbo,View_FctLicenties_actueel_Salz,VIEW
SMI_SandBox,dbo,View_FctGebruikersPerSchool,VIEW
SMI_SandBox,dbo,View_SelectArtikelNummers,VIEW
SMI_SandBox,dbo,View_FctLicenties_actueel_big4,VIEW
SMI_SandBox,dbo,View_ELM_ILM_Schoolniveau,VIEW
SMI_SandBox,dbo,View_FctVoucher,VIEW
SMI_SandBox,dbo,View_FctVoucher_Licentie,VIEW
SMI_SandBox,dbo,View_FunnelSegment,VIEW
SMI_SandBox,dbo,View_DoelenFunnel,VIEW
SMI_SandBox,dbo,View_FunnelPOEngelsWPRAccounts,VIEW
SMI_SandBox,dbo,View_FunnelPOEngelsContactWPR,VIEW
SMI_SandBox,dbo,View_FunnelPOEngelsContacts,VIEW
SMI_SandBox,dbo,View_FunnelPOEngels,VIEW
SMI_SandBox,dbo,View_GA_Chapters2,VIEW
SMI_SandBox,dbo,View_GWTW_ActivityPointer,VIEW
SMI_SandBox,tps,View_ICTBFC,VIEW
SMI_SandBox,dbo,View_Iddink_LRNVersneld,VIEW
SMI_SandBox,dbo,View_ImpactLeads,VIEW
SMI_SandBox,dbo,View_LearnbeatOrders,VIEW
SMI_SandBox,dbo,View_Licentie_naar_gebruik_ATOL_licentieniveau,VIEW
